wandb: Currently logged in as: alexandretl. Use `wandb login --relogin` to force relogin
wandb: Tracking run with wandb version 0.17.8
wandb: Run data is saved locally in /workspace/hash-hop-hub/wandb/run-20240903_161149-xtovi8rv
wandb: Run `wandb offline` to turn off syncing.
wandb: Syncing run fiery-violet-5
wandb: ⭐️ View project at https://wandb.ai/alexandretl/hash-hop-hub
wandb: 🚀 View run at https://wandb.ai/alexandretl/hash-hop-hub/runs/xtovi8rv
Run name: fiery-violet-5.
Model initialized. Number of parameters : 7251561.
Compiling the model...
Done compiling.
Training is starting.
Iter 008400/100000. train loss : 2.483. valid loss : 2.485. lr : 0.00100. uptime : 00h13min. ETA : 02h12min.
Iter 008600/100000. train loss : 2.478. valid loss : 2.481. lr : 0.00100. uptime : 00h13min. ETA : 02h12min.
Iter 008800/100000. train loss : 2.489. valid loss : 2.481. lr : 0.00100. uptime : 00h13min. ETA : 02h12min.
Iter 009000/100000. train loss : 2.483. valid loss : 2.482. lr : 0.00100. uptime : 00h13min. ETA : 02h14min.
Iter 009200/100000. train loss : 2.477. valid loss : 2.479. lr : 0.00100. uptime : 00h14min. ETA : 02h11min.
Iter 009400/100000. train loss : 2.482. valid loss : 2.478. lr : 0.00100. uptime : 00h14min. ETA : 02h11min.
Iter 009600/100000. train loss : 2.475. valid loss : 2.475. lr : 0.00100. uptime : 00h14min. ETA : 02h10min.
Iter 009800/100000. train loss : 2.479. valid loss : 2.474. lr : 0.00100. uptime : 00h15min. ETA : 02h11min.
Iter 010000/100000. train loss : 2.472. valid loss : 2.473. lr : 0.00100. uptime : 00h15min. ETA : 02h12min.
Iter 010200/100000. train loss : 2.477. valid loss : 2.472. lr : 0.00100. uptime : 00h15min. ETA : 02h13min.
Iter 010400/100000. train loss : 2.462. valid loss : 2.471. lr : 0.00100. uptime : 00h16min. ETA : 02h10min.
Iter 010600/100000. train loss : 2.468. valid loss : 2.473. lr : 0.00100. uptime : 00h16min. ETA : 02h10min.
Iter 010800/100000. train loss : 2.480. valid loss : 2.471. lr : 0.00100. uptime : 00h16min. ETA : 02h09min.
Iter 011000/100000. train loss : 2.476. valid loss : 2.474. lr : 0.00100. uptime : 00h16min. ETA : 02h10min.
Iter 011200/100000. train loss : 2.477. valid loss : 2.472. lr : 0.00100. uptime : 00h17min. ETA : 02h09min.
Iter 011400/100000. train loss : 2.474. valid loss : 2.473. lr : 0.00100. uptime : 00h17min. ETA : 02h08min.
Iter 011600/100000. train loss : 2.471. valid loss : 2.470. lr : 0.00100. uptime : 00h17min. ETA : 02h08min.
Iter 011800/100000. train loss : 2.469. valid loss : 2.470. lr : 0.00100. uptime : 00h18min. ETA : 02h08min.
Iter 012000/100000. train loss : 2.464. valid loss : 2.471. lr : 0.00100. uptime : 00h18min. ETA : 02h10min.
Iter 012200/100000. train loss : 2.469. valid loss : 2.468. lr : 0.00100. uptime : 00h18min. ETA : 02h07min.
Iter 012400/100000. train loss : 2.470. valid loss : 2.471. lr : 0.00100. uptime : 00h18min. ETA : 02h07min.
Iter 012600/100000. train loss : 2.467. valid loss : 2.469. lr : 0.00100. uptime : 00h19min. ETA : 02h07min.
Iter 012800/100000. train loss : 2.472. valid loss : 2.474. lr : 0.00100. uptime : 00h19min. ETA : 02h06min.
Iter 013000/100000. train loss : 2.477. valid loss : 2.471. lr : 0.00100. uptime : 00h19min. ETA : 02h08min.
Iter 013200/100000. train loss : 2.476. valid loss : 2.473. lr : 0.00100. uptime : 00h20min. ETA : 02h05min.
Iter 013400/100000. train loss : 2.471. valid loss : 2.471. lr : 0.00100. uptime : 00h20min. ETA : 02h05min.
Iter 013600/100000. train loss : 2.461. valid loss : 2.470. lr : 0.00100. uptime : 00h20min. ETA : 02h05min.
Iter 013800/100000. train loss : 2.478. valid loss : 2.472. lr : 0.00100. uptime : 00h21min. ETA : 02h04min.
Iter 014000/100000. train loss : 2.474. valid loss : 2.474. lr : 0.00100. uptime : 00h21min. ETA : 02h06min.
Iter 014200/100000. train loss : 2.474. valid loss : 2.470. lr : 0.00100. uptime : 00h21min. ETA : 02h04min.
Iter 014400/100000. train loss : 2.469. valid loss : 2.469. lr : 0.00100. uptime : 00h21min. ETA : 02h04min.
Iter 014600/100000. train loss : 2.472. valid loss : 2.469. lr : 0.00100. uptime : 00h22min. ETA : 02h03min.
Iter 014800/100000. train loss : 2.472. valid loss : 2.468. lr : 0.00100. uptime : 00h22min. ETA : 02h03min.
Iter 015000/100000. train loss : 2.462. valid loss : 2.470. lr : 0.00100. uptime : 00h22min. ETA : 02h05min.
Iter 015200/100000. train loss : 2.472. valid loss : 2.471. lr : 0.00100. uptime : 00h23min. ETA : 02h03min.
Iter 015400/100000. train loss : 2.471. valid loss : 2.471. lr : 0.00100. uptime : 00h23min. ETA : 02h02min.
Iter 015600/100000. train loss : 2.474. valid loss : 2.471. lr : 0.00100. uptime : 00h23min. ETA : 02h02min.
Iter 015800/100000. train loss : 2.470. valid loss : 2.469. lr : 0.00100. uptime : 00h23min. ETA : 02h02min.
Iter 016000/100000. train loss : 2.473. valid loss : 2.469. lr : 0.00100. uptime : 00h24min. ETA : 02h03min.
Iter 016200/100000. train loss : 2.470. valid loss : 2.468. lr : 0.00100. uptime : 00h24min. ETA : 02h01min.
Iter 016400/100000. train loss : 2.473. valid loss : 2.471. lr : 0.00100. uptime : 00h24min. ETA : 02h01min.
Iter 016600/100000. train loss : 2.474. valid loss : 2.469. lr : 0.00100. uptime : 00h25min. ETA : 02h01min.
Iter 016800/100000. train loss : 2.464. valid loss : 2.467. lr : 0.00100. uptime : 00h25min. ETA : 02h00min.
Iter 017000/100000. train loss : 2.461. valid loss : 2.469. lr : 0.00100. uptime : 00h25min. ETA : 02h02min.
Iter 017200/100000. train loss : 2.471. valid loss : 2.471. lr : 0.00100. uptime : 00h26min. ETA : 02h00min.
Iter 017400/100000. train loss : 2.462. valid loss : 2.469. lr : 0.00100. uptime : 00h26min. ETA : 02h00min.
Iter 017600/100000. train loss : 2.466. valid loss : 2.472. lr : 0.00100. uptime : 00h26min. ETA : 01h59min.
Iter 017800/100000. train loss : 2.476. valid loss : 2.471. lr : 0.00100. uptime : 00h26min. ETA : 01h59min.
Iter 018000/100000. train loss : 2.469. valid loss : 2.469. lr : 0.00100. uptime : 00h27min. ETA : 02h01min.
Iter 018200/100000. train loss : 2.459. valid loss : 2.467. lr : 0.00100. uptime : 00h27min. ETA : 01h58min.
Iter 018400/100000. train loss : 2.468. valid loss : 2.467. lr : 0.00100. uptime : 00h27min. ETA : 01h58min.
Iter 018600/100000. train loss : 2.467. valid loss : 2.467. lr : 0.00100. uptime : 00h28min. ETA : 01h58min.
Iter 018800/100000. train loss : 2.457. valid loss : 2.468. lr : 0.00100. uptime : 00h28min. ETA : 01h58min.
Iter 019000/100000. train loss : 2.469. valid loss : 2.469. lr : 0.00100. uptime : 00h28min. ETA : 01h59min.
Iter 019200/100000. train loss : 2.467. valid loss : 2.467. lr : 0.00100. uptime : 00h28min. ETA : 01h57min.
Iter 019400/100000. train loss : 2.468. valid loss : 2.467. lr : 0.00100. uptime : 00h29min. ETA : 01h57min.
Iter 019600/100000. train loss : 2.463. valid loss : 2.469. lr : 0.00100. uptime : 00h29min. ETA : 01h57min.
Iter 019800/100000. train loss : 2.470. valid loss : 2.468. lr : 0.00100. uptime : 00h29min. ETA : 01h56min.
Iter 020000/100000. train loss : 2.467. valid loss : 2.467. lr : 0.00100. uptime : 00h30min. ETA : 01h58min.
Iter 020200/100000. train loss : 2.470. valid loss : 2.469. lr : 0.00100. uptime : 00h30min. ETA : 01h58min.
Iter 020400/100000. train loss : 2.467. valid loss : 2.468. lr : 0.00100. uptime : 00h30min. ETA : 01h55min.
Iter 020600/100000. train loss : 2.469. valid loss : 2.466. lr : 0.00100. uptime : 00h31min. ETA : 01h55min.
Iter 020800/100000. train loss : 2.463. valid loss : 2.468. lr : 0.00100. uptime : 00h31min. ETA : 01h55min.
